epoch,eval_loss,learning_rate,loss,step
12.3,,7.562888665997995e-05,5.685,12300
12.35,,7.552858575727181e-05,5.7005,12350
12.4,,7.54282848545637e-05,5.6901,12400
12.45,,7.532798395185557e-05,5.686,12450
12.5,,7.522768304914745e-05,5.7286,12500
12.55,,7.512738214643932e-05,5.6822,12550
12.6,,7.50270812437312e-05,5.6935,12600
12.65,,7.492678034102308e-05,5.6797,12650
12.7,,7.482647943831494e-05,5.6834,12700
12.75,,7.472617853560683e-05,5.6928,12750
12.8,,7.46258776328987e-05,5.6842,12800
12.85,,7.452557673019058e-05,5.6925,12850
12.9,,7.442527582748246e-05,5.699,12900
12.95,,7.432497492477432e-05,5.6894,12950
13.0,,7.42246740220662e-05,5.6265,13000
13.0,5.8351826667785645,,,13000
13.05,,7.412437311935808e-05,5.7189,13050
13.1,,7.402407221664996e-05,5.6756,13100
13.15,,7.392377131394182e-05,5.6505,13150
13.2,,7.38234704112337e-05,5.6492,13200
13.25,,7.372316950852558e-05,5.688,13250
13.3,,7.362286860581745e-05,5.6898,13300
13.35,,7.352256770310934e-05,5.7043,13350
13.4,,7.34222668004012e-05,5.7241,13400
13.45,,7.332196589769308e-05,5.676,13450
13.5,,7.322166499498496e-05,5.6545,13500
13.55,,7.312136409227683e-05,5.714,13550
13.6,,7.302106318956871e-05,5.6968,13600
13.65,,7.292076228686059e-05,5.6541,13650
13.7,,7.282046138415247e-05,5.6379,13700
13.75,,7.272016048144433e-05,5.6354,13750
13.8,,7.261985957873621e-05,5.6551,13800
13.85,,7.251955867602809e-05,5.6953,13850
13.9,,7.241925777331995e-05,5.6717,13900
13.95,,7.231895687061185e-05,5.6503,13950
14.0,,7.221865596790371e-05,5.6436,14000
14.0,5.882205486297607,,,14000
